date,start_time,time,distance_km,elevation_gain_m,pace_kmh,link
2024-04-17,06:20,1h15,11,420,8.8,https://onthegomap.com/s/bfk4n9lb
2024-04-18,06:15,1h52,,,,
2024-04-20,06:20,1h30,11,1142,7.8,

